Iteration,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,1.0
4,0.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,2.0,2.0,2.0,1.0
7,2.0,2.0,2.0,2.0,2.0
8,2.0,3.0,3.0,3.0,2.0
9,3.0,3.0,3.0,3.0,3.0
10,3.0,4.0,4.0,4.0,3.0
11,4.0,4.0,4.0,4.0,4.0
12,4.0,5.0,5.0,5.0,4.0
13,5.0,5.0,5.0,5.0,5.0
14,5.0,6.0,6.0,6.0,5.0
15,6.0,6.0,6.0,6.0,6.0
16,6.0,7.0,7.0,7.0,6.0
17,7.0,7.0,7.0,7.0,7.0
18,7.0,8.0,8.0,8.0,7.0
19,8.0,8.0,8.0,8.0,8.0
20,8.0,9.0,9.0,9.0,8.0
21,9.0,9.0,9.0,9.0,9.0
22,9.0,10.0,10.0,10.0,9.0
23,10.0,10.0,10.0,10.0,10.0
24,10.0,11.0,11.0,11.0,10.0
25,11.0,11.0,11.0,11.0,11.0
26,11.0,12.0,12.0,12.0,11.0
27,12.0,12.0,12.0,12.0,12.0
28,12.0,13.0,13.0,13.0,12.0
29,13.0,13.0,13.0,13.0,13.0
30,13.0,14.0,14.0,14.0,13.0
31,14.0,14.0,14.0,14.0,14.0
32,14.0,15.0,15.0,15.0,14.0
33,15.0,15.0,15.0,15.0,15.0
34,15.0,16.0,16.0,16.0,15.0
35,16.0,16.0,16.0,16.0,16.0
36,16.0,17.0,17.0,17.0,16.0
37,17.0,17.0,17.0,17.0,17.0
38,17.0,18.0,18.0,18.0,17.0
39,18.0,18.0,18.0,18.0,18.0
40,18.0,19.0,19.0,19.0,18.0
41,19.0,19.0,19.0,19.0,19.0
42,19.0,20.0,20.0,20.0,19.0
43,20.0,20.0,20.0,20.0,20.0
44,20.0,21.0,21.0,21.0,20.0
45,21.0,21.0,21.0,21.0,21.0
46,21.0,22.0,22.0,22.0,21.0
47,22.0,22.0,22.0,22.0,22.0
48,22.0,23.0,23.0,23.0,22.0
49,23.0,23.0,23.0,23.0,23.0
50,23.0,24.0,24.0,24.0,23.0
51,24.0,24.0,24.0,24.0,24.0
52,24.0,25.0,25.0,25.0,24.0
53,25.0,25.0,25.0,25.0,25.0
54,25.0,26.0,26.0,26.0,25.0
55,26.0,26.0,26.0,26.0,26.0
56,26.0,27.0,27.0,27.0,26.0
57,27.0,27.0,27.0,27.0,27.0
58,27.0,28.0,28.0,28.0,27.0
59,27.0,28.0,28.0,28.0,28.0
